time,altitude,speed,mass
23.12,90.98,0.0,208107437.5
23.24,90.98,0.0,208107437.5
23.34,90.98,0.0,208107437.5
23.42,90.98,0.0,208107437.5
23.52,90.98,0.0,208107437.5
23.64,90.98,0.0,208107437.5
23.74,90.98,0.0,208107437.5
23.84,90.98,0.0,208107437.5
23.94,90.98,0.0,208107437.5
24.04,90.98,0.0,208107437.5
24.14,90.98,0.0,208107437.5
24.24,90.98,0.0,208107437.5
24.34,90.98,0.0,208107437.5
24.44,90.98,0.0,208107437.5
24.54,90.98,0.0,208107437.5
24.64,90.98,0.0,208107437.5
24.74,90.98,0.0,208107437.5
24.84,90.98,0.0,208107437.5
24.94,90.98,0.0,208107437.5
25.04,90.98,0.0,208107437.5
25.14,90.98,0.0,208107437.5
25.24,90.98,0.0,208107437.5
25.34,90.98,0.0,208107437.5
25.44,90.98,0.0,208107437.5
25.54,90.98,0.0,208107437.5
25.64,90.98,0.0,208107437.5
25.74,90.98,0.0,208107437.5
25.84,90.98,0.0,208107437.5
25.94,90.98,0.0,208107437.5
26.04,90.98,0.0,208107437.5
26.14,90.98,0.0,208107437.5
26.24,90.98,0.0,208107437.5
26.34,90.98,0.0,208107437.5
26.44,90.98,0.0,208107437.5
26.54,90.98,0.0,208107437.5
26.64,90.98,0.0,208107437.5
26.74,90.98,0.0,208107437.5
26.84,90.98,0.0,208107437.5
26.94,90.98,0.0,208107437.5
27.04,90.98,0.0,208107437.5
27.14,90.98,0.0,208107437.5
27.24,90.98,0.0,208107437.5
27.34,90.98,0.0,208107437.5
27.44,90.98,0.0,208107437.5
27.54,90.98,0.0,208107437.5
27.64,90.98,0.0,208107437.5
27.74,90.98,0.0,208107437.5
27.84,90.98,0.0,208107437.5
27.94,90.98,0.0,208107437.5
28.04,90.98,0.0,208107437.5
28.14,90.98,0.0,208107437.5
28.24,90.98,0.0,208107437.5
28.36,90.98,0.0,208107437.5
28.44,90.98,0.0,208107437.5
28.54,90.98,0.0,208107437.5
28.66,90.98,0.0,208107437.5
28.76,90.98,0.0,208107437.5
28.84,90.98,0.0,208107437.5
28.96,90.98,0.0,208107437.5
29.06,90.98,0.0,208107437.5
29.16,90.98,0.0,208107437.5
29.26,90.98,0.0,208107437.5
29.36,90.98,0.0,208107437.5
29.46,90.98,0.0,208107437.5
29.56,90.98,0.0,208107437.5
29.66,90.98,0.0,208107437.5
29.76,90.98,0.0,208107437.5
29.86,90.98,0.0,208107437.5
29.96,90.98,0.0,208107437.5
30.06,90.98,0.0,208107437.5
30.16,90.98,0.0,208107437.5
30.22,90.98,0.0,208107437.5
30.34,90.98,0.0,208107437.5
30.46,90.98,0.0,208107437.5
30.54,90.98,0.0,208107437.5
30.64,90.98,0.0,208107437.5
30.76,90.98,0.0,208107437.5
30.84,90.98,0.0,208107437.5
30.94,90.98,0.0,208107437.5
31.06,90.98,0.0,208107437.5
31.16,90.98,0.0,208107437.5
31.24,90.98,0.0,208107437.5
31.36,90.98,0.0,208107437.5
31.44,90.98,0.0,208107437.5
31.56,90.98,0.0,208107437.5
31.64,90.98,0.0,208107437.5
31.76,90.98,0.0,208107437.5
31.86,90.98,0.0,208107437.5
31.96,90.98,0.0,208107437.5
32.06,90.98,0.0,208107437.5
32.16,90.98,0.0,208107437.5
32.26,90.98,0.0,208107437.5
32.36,90.98,0.0,208107437.5
32.46,90.98,0.0,208107437.5
32.56,90.98,0.0,208107437.5
32.66,90.98,0.0,208107437.5
32.76,90.98,0.0,208107437.5
32.86,90.98,0.0,208107437.5
32.96,90.98,0.0,208107437.5
33.06,90.98,0.0,208107437.5
33.16,90.98,0.0,208107437.5
33.26,90.98,0.0,208107437.5
33.36,90.98,0.0,208107437.5
33.46,90.98,0.0,208107437.5
33.56,90.98,0.0,208107437.5
33.66,90.98,0.0,208107437.5
33.76,90.98,0.0,208107437.5
33.86,90.98,0.0,208107437.5
33.96,90.98,0.0,208107437.5
34.06,90.98,0.0,208107437.5
34.16,90.98,0.0,208107437.5
34.26,90.98,0.0,208107437.5
34.36,90.98,0.0,208107437.5
34.46,90.98,0.0,208107437.5
34.56,90.98,0.0,208107437.5
34.66,90.98,0.0,208107437.5
34.76,90.98,0.0,208107437.5
34.86,90.98,0.0,208107437.5
34.96,90.98,0.0,208107437.5
35.06,90.98,0.0,208107437.5
35.16,90.98,0.0,208107437.5
35.26,90.98,0.0,208107437.5
35.36,90.98,0.0,208107437.5
35.46,90.98,0.0,208107437.5
35.56,90.98,0.0,208107437.5
35.66,90.98,0.0,208107437.5
